Data,Hora,Produto,ISIN,Bolsa de,Bolsa,Quantidade,Preços,,Valor local,,Valor,,Taxa de Câmbio,Custos de transação,,Total,,ID da Ordem
20-12-2021,17:41,ARCIMOTO INC,US0395871009,NDQ,CDED,30,8.0800,USD,-242.40,USD,-214.63,EUR,1.1266,-0.50,EUR,-215.13,EUR,29a8a2f2-9c9b-45d2-a06b-5e2ac62fbb59
20-12-2021,17:40,ARCIMOTO INC,US0395871009,NDQ,CDED,-30,8.0600,USD,241.80,USD,213.07,EUR,1.1320,-0.50,EUR,212.57,EUR,b66871c4-48d0-43b8-b28a-5421f2e3678a
20-12-2021,17:06,PALANTIR TECHNOLOGIES INC-A,US69608A1088,NSY,XNAS,61,18.0200,USD,-1099.22,USD,-973.19,EUR,1.1267,-0.50,EUR,-973.69,EUR,d50b7baa-96c4-49c2-97a3-7d00821ad9b2
20-12-2021,17:06,PALANTIR TECHNOLOGIES INC-A,US69608A1088,NSY,CDED,-61,17.9600,USD,1095.56,USD,965.11,EUR,1.1323,-0.50,EUR,964.61,EUR,0ae0f718-cd0a-4035-8a89-b6caa7491b64
11-11-2021,17:32,PALANTIR TECHNOLOGIES INC-A,US69608A1088,NSY,CDED,7,22.8700,USD,-160.09,USD,-139.69,EUR,1.1449,-0.52,EUR,-140.21,EUR,90922d57-68f5-4694-9c85-0de34637ac9a
11-11-2021,17:31,CRISPR THERAPEUTICS AG,CH0334081137,NDQ,CDED,-2,87.6000,USD,175.20,USD,152.55,EUR,1.1473,-0.51,EUR,152.04,EUR,4a3e3e76-7d4e-4cad-a434-4ec18134c1fc
29-09-2021,15:35,ARCIMOTO INC,US0395871009,NDQ,SOHO,1,11.4600,USD,-11.46,USD,-9.85,EUR,1.1627,-0.50,EUR,-10.35,EUR,3c9ea24f-0dd8-47dd-81e8-9400a1650ef4
29-09-2021,15:35,PALANTIR TECHNOLOGIES INC-A,US69608A1088,NSY,CDED,4,25.3300,USD,-101.32,USD,-87.05,EUR,1.1627,-0.51,EUR,-87.56,EUR,8c0a16ca-f996-420c-b713-fb6d0f0d2348
29-09-2021,15:33,WALT DISNEY COMPANY (T,US2546871060,NSY,CDED,2,174.3300,USD,-348.66,USD,-299.56,EUR,1.1627,-0.51,EUR,-300.07,EUR,155a4039-39d1-46fd-b2f4-cfea326a59d4
01-09-2021,15:30,ARCIMOTO INC,US0395871009,NDQ,XNAS,6,12.3700,USD,-74.22,USD,-62.68,EUR,1.1829,-0.52,EUR,-63.20,EUR,4b761105-575b-416c-b873-2a78b36d5617
01-09-2021,15:30,PALANTIR TECHNOLOGIES INC-A,US69608A1088,NSY,XNYS,15,26.4500,USD,-396.75,USD,-335.06,EUR,1.1829,-0.55,EUR,-335.61,EUR,733e17c0-4ccc-4aab-bfa1-ef55e8a31d79
17-08-2021,21:21,ARCIMOTO INC,US0395871009,NDQ,CDED,3,11.3100,USD,-33.93,USD,-28.97,EUR,1.1700,-0.51,EUR,-29.48,EUR,084c4b3c-b1ce-46f8-a544-c486d02e8352
17-08-2021,16:55,PALANTIR TECHNOLOGIES INC-A,US69608A1088,NSY,SOHO,3,24.4600,USD,-73.38,USD,-62.64,EUR,1.1703,-0.51,EUR,-63.15,EUR,5cc4d6e5-67bc-45f8-a948-e441e0d9522d
17-08-2021,15:30,BIONANO GENOMICS CM,US09075F1075,NDQ,XNAS,-20,5.4600,USD,109.20,USD,92.87,EUR,1.1747,-0.57,EUR,92.30,EUR,df4fc9ca-1131-4b41-aef8-d3d06096f97e
09-07-2021,16:13,PALANTIR TECHNOLOGIES INC-A,US69608A1088,NSY,CDED,12,22.9400,USD,-275.28,USD,-232.05,EUR,1.1851,-0.54,EUR,-232.59,EUR,a366e2f0-6aec-46da-bb17-abd098e0de50
09-07-2021,16:12,NIO INC - ADR,US62914V1061,NSY,CDED,-6,45.7600,USD,274.56,USD,230.96,EUR,1.1876,-0.52,EUR,230.44,EUR,e2affa64-a295-4cdb-9307-60b2bbfe15c0
07-04-2021,16:14,PALANTIR TECHNOLOGIES INC-A,US69608A1088,NSY,CDED,5,23.4400,USD,-117.20,USD,-98.50,EUR,1.1887,-0.52,EUR,-99.02,EUR,a1e68bb9-4bfe-4988-9eb1-96dcd0f11594
06-04-2021,15:43,PALANTIR TECHNOLOGIES INC-A,US69608A1088,NSY,CDED,5,23.0100,USD,-115.05,USD,-97.20,EUR,1.1824,-0.52,EUR,-97.72,EUR,df2fca67-df90-49c5-96ae-f1391ff83ef1
03-03-2021,15:53,BIONANO GENOMICS CM,US09075F1075,NDQ,CDED,14,9.0900,USD,-127.26,USD,-105.53,EUR,1.2047,-0.55,EUR,-106.08,EUR,9f0d7c69-6423-4cbe-a388-831ee5bbf8fa
02-03-2021,16:22,BIONANO GENOMICS CM,US09075F1075,NDQ,CDED,6,10.3100,USD,-61.86,USD,-51.39,EUR,1.2025,-0.52,EUR,-51.91,EUR,2927283c-d707-403e-8a52-b2a45c2695b5
02-03-2021,16:22,PALANTIR TECHNOLOGIES INC-A,US69608A1088,NSY,CDED,2,25.2900,USD,-50.58,USD,-42.01,EUR,1.2027,-0.51,EUR,-42.52,EUR,d88daa21-d415-407b-883b-98b69aaafde4
23-02-2021,16:03,PALANTIR TECHNOLOGIES INC-A,US69608A1088,NSY,SOHO,1,26.3500,USD,-26.35,USD,-21.70,EUR,1.2130,-0.50,EUR,-22.20,EUR,f1b41b97-b08d-42dd-a6bd-5c7f6e7d0f23
23-02-2021,15:46,PALANTIR TECHNOLOGIES INC-A,US69608A1088,NSY,CDED,7,24.2300,USD,-169.61,USD,-139.71,EUR,1.2128,-0.52,EUR,-140.23,EUR,20966375-bf4f-41fa-bb43-96fb0b552328
23-02-2021,15:43,INVITAE CORPORATION CO,US46185L1035,NSY,CDED,-2,38.3901,USD,76.78,USD,63.09,EUR,1.2157,-0.51,EUR,62.58,EUR,c69408c4-9b06-4e9f-a847-011566762384
23-02-2021,15:43,GAMESTOP CORPORATION C,US36467W1099,NSY,CDED,-3,41.5200,USD,124.56,USD,102.36,EUR,1.2156,-0.51,EUR,101.85,EUR,994b5bd5-afbf-4813-ac8f-659358cf79cd
09-02-2021,16:31,ARCIMOTO INC,US0395871009,NDQ,CDED,2,29.7200,USD,-59.44,USD,-49.14,EUR,1.2084,-0.51,EUR,-49.65,EUR,27483fca-2117-4142-a3c3-f2d4ea6eaa53
05-02-2021,16:06,GAMESTOP CORPORATION C,US36467W1099,NSY,CDED,3,83.2700,USD,-249.81,USD,-207.71,EUR,1.2015,-0.51,EUR,-208.22,EUR,ed74e09c-f1f4-41ce-b887-7ea1549320b0
05-02-2021,16:05,FORTINET INC. - COMMO,US34959E1091,NDQ,CDED,-2,154.8700,USD,309.74,USD,257.07,EUR,1.2037,-0.51,EUR,256.56,EUR,ef1b310d-4f67-45f1-87ed-ae3b6731b0c7
04-02-2021,16:24,ARCIMOTO INC,US0395871009,NDQ,SOHO,3,34.6190,USD,-103.86,USD,-86.75,EUR,1.1960,-0.51,EUR,-87.26,EUR,e55c0e93-3363-4eb1-9504-9328ff18f7b3
04-02-2021,16:24,AMC ENTERTAINMENT HOLD,US00165C1045,NSY,CDED,-10,8.1001,USD,81.00,USD,67.52,EUR,1.1984,-0.53,EUR,66.99,EUR,86f319cd-a7c9-4598-b3cb-7e021a0899d6
04-02-2021,16:21,FORTINET INC. - COMMO,US34959E1091,NDQ,CDED,2,155.0000,USD,-310.00,USD,-258.94,EUR,1.1960,-0.51,EUR,-259.45,EUR,dd3cbf79-4d05-4aa6-9d63-a02e3e0b5afb
04-02-2021,16:20,GAMESTOP CORPORATION C,US36467W1099,NSY,CDED,-4,78.5801,USD,314.32,USD,262.00,EUR,1.1985,-0.51,EUR,261.49,EUR,451b688b-6a28-40c7-be3d-c5903f31ed55
03-02-2021,16:07,ARCIMOTO INC,US0395871009,NDQ,CDED,4,29.1700,USD,-116.68,USD,-97.03,EUR,1.2013,-0.51,EUR,-97.54,EUR,53739e40-d664-4762-b2c7-40405a450555
02-02-2021,17:51,ARCIMOTO INC,US0395871009,NDQ,CDED,1,26.7600,USD,-26.76,USD,-22.26,EUR,1.2010,-0.50,EUR,-22.76,EUR,d2de840d-d555-409e-aa13-4f3880e63df9
02-02-2021,17:43,GAMESTOP CORPORATION C,US36467W1099,NSY,CDED,2,134.0000,USD,-268.00,USD,-222.87,EUR,1.2013,-0.51,EUR,-223.38,EUR,785f0900-5882-45d8-8216-523bf69b1cbe
02-02-2021,17:34,LEMONADE INC,US52567D1072,NSY,CDED,-2,144.9600,USD,289.92,USD,240.58,EUR,1.2039,-0.51,EUR,240.07,EUR,f04f3e41-962a-4b7e-925f-c0595f972b25
01-02-2021,19:11,CHECK-CAP LTD. - ORDIN,IL0011336851,NDQ,SOHO,-8,1.5200,USD,12.16,USD,10.06,EUR,1.2077,-0.53,EUR,9.53,EUR,492e9c82-3b79-4b4d-9c8b-3c87e58d1195
29-01-2021,21:57,GAMESTOP CORPORATION C,US36467W1099,NSY,SOHO,2,325.0000,USD,-650.00,USD,-535.60,EUR,1.2124,-0.51,EUR,-536.11,EUR,9e7ee5c2-4bae-4854-aa87-9b1d765e8d85
29-01-2021,16:01,GAMESTOP CORPORATION C,US36467W1099,NSY,XNAS,-2,313.0000,USD,626.00,USD,514.20,EUR,1.2162,-0.51,EUR,513.69,EUR,9efc8f6b-f371-4e65-a3f3-efdca233e775
28-01-2021,15:30,ARCIMOTO INC,US0395871009,NDQ,XNAS,5,22.1900,USD,-110.95,USD,-91.50,EUR,1.2114,-0.52,EUR,-92.02,EUR,fac9d748-2c83-40ba-bb0c-fd9d7c0b636d
27-01-2021,15:47,AMC ENTERTAINMENT HOLD,US00165C1045,NSY,XNYS,10,16.5000,USD,-165.00,USD,-136.75,EUR,1.2054,-0.53,EUR,-137.28,EUR,a9eb063e-94c3-43a7-8a69-6a464738f4b2
27-01-2021,15:43,GAMESTOP CORPORATION C,US36467W1099,NSY,XNYS,2,293.0000,USD,-586.00,USD,-485.70,EUR,1.2053,-0.51,EUR,-486.21,EUR,dca04ea2-7ad6-42ff-bf8b-bab3c102e46b
27-01-2021,15:31,SQUARE INC - A,US8522341036,NSY,XNYS,-2,202.9000,USD,405.80,USD,334.70,EUR,1.2112,-0.51,EUR,334.19,EUR,ee21527d-d2da-4e1e-9fc8-c1827a4a0f9e
27-01-2021,15:30,PALANTIR TECHNOLOGIES INC-A,US69608A1088,NSY,XNYS,-2,33.0000,USD,66.00,USD,54.41,EUR,1.2117,-0.51,EUR,53.90,EUR,2e5e322a-a1ce-497d-96d0-5e5028f3b950
27-01-2021,15:30,SALESFORCE.COM INC COM,US79466L3024,NSY,XNYS,-2,223.8400,USD,447.68,USD,369.06,EUR,1.2118,-0.51,EUR,368.55,EUR,2f1f54d5-8c5d-4b95-aca9-1ebf99ddd587
05-01-2021,15:33,CHECK-CAP LTD. - ORDIN,IL0011336851,NDQ,XNAS,8,2.3000,USD,-18.40,USD,-14.99,EUR,1.2259,-0.53,EUR,-15.52,EUR,595494e1-7917-49fc-9b49-54289fc4324d
04-01-2021,16:13,NIO INC - ADR,US62914V1061,NSY,CDED,2,52.6800,USD,-105.36,USD,-85.81,EUR,1.2266,-0.51,EUR,-86.32,EUR,73a5de40-fa38-4500-a1e9-d4e1ff2dd856
24-12-2020,15:47,SQUARE INC - A,US8522341036,NSY,CDED,2,232.4400,USD,-464.88,USD,-381.33,EUR,1.2179,-0.51,EUR,-381.84,EUR,5f739293-1c53-4509-b3f8-54ac23b33637
24-12-2020,15:32,CRISPR THERAPEUTICS AG,CH0334081137,NDQ,XNAS,2,174.0000,USD,-348.00,USD,-285.57,EUR,1.2174,-0.51,EUR,-286.08,EUR,122262da-32ae-41be-a103-52a5cb32494c
24-12-2020,15:31,NIO INC - ADR,US62914V1061,NSY,XNYS,4,46.8100,USD,-187.24,USD,-153.64,EUR,1.2175,-0.51,EUR,-154.15,EUR,67f75c2b-cc18-42d1-97ab-60153934f64b
24-12-2020,15:30,SALESFORCE.COM INC COM,US79466L3024,NSY,XNYS,2,228.0000,USD,-456.00,USD,-374.26,EUR,1.2172,-0.51,EUR,-374.77,EUR,ae239016-8532-4075-a5ac-4959fbc2d730
24-12-2020,15:30,TESLA MOTORS INC. - C,US88160R1014,NDQ,XNAS,35,643.0100,USD,-22505.35,USD,-18471.23,EUR,1.2172,-0.62,EUR,-18471.85,EUR,f8b1caaa-be78-4f09-aee5-905d268a8e83
24-12-2020,15:30,LEMONADE INC,US52567D1072,NSY,XNYS,2,128.7600,USD,-257.52,USD,-211.36,EUR,1.2172,-0.51,EUR,-211.87,EUR,5b6e7b97-67ba-4bf2-9841-bafd34851cf0
23-12-2020,16:16,ARCIMOTO INC,US0395871009,NDQ,CDED,2,14.6000,USD,-29.20,USD,-23.91,EUR,1.2202,,,-23.91,EUR,6d54e3ca-f2b5-4b7d-a911-9f3c129cf011
23-12-2020,16:14,ARCIMOTO INC,US0395871009,NDQ,CDED,2,14.7500,USD,-29.50,USD,-24.15,EUR,1.2202,-0.51,EUR,-24.66,EUR,e5255d39-2299-4c25-a7a4-813136a12c2c
11-12-2020,15:30,PALANTIR TECHNOLOGIES INC-A,US69608A1088,NSY,XNYS,2,27.1000,USD,-54.20,USD,-44.71,EUR,1.2111,-0.51,EUR,-45.22,EUR,27ee6ec2-3832-4aa2-8a68-ab340c928a58
01-12-2020,16:17,ARCIMOTO INC,US0395871009,NDQ,CDED,1,12.8100,USD,-12.81,USD,-10.66,EUR,1.2000,-0.50,EUR,-11.16,EUR,f2392b19-eb3a-4e3b-9cd5-a6fb32c0f2aa
01-12-2020,16:13,INVITAE CORPORATION CO,US46185L1035,NSY,CDED,2,52.0650,USD,-104.13,USD,-86.81,EUR,1.1983,-0.51,EUR,-87.32,EUR,43bee41a-5319-448a-8a30-7ca880fa24af
